time/total_timesteps,train/actor_loss,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates
214577,-11.001826286315918,327.15,0.013049518689513206,8975,0.0003,1.2754948139190674,-0.9010350704193115,23,656,64.20219893999999,214476
215690,-11.543415069580078,325.2,0.01389390230178833,9024,0.0003,0.24516192078590393,-0.2569035291671753,23,660,64.06323611999998,215589
217159,-11.122010231018066,327.17,0.013501995243132114,9088,0.0003,0.6214970350265503,-0.8658584356307983,23,664,64.76103852,217058
218305,-11.146656036376953,327.94,0.013562314212322235,9139,0.0003,0.9040491580963135,-0.8420284986495972,23,668,64.25383753999999,218204
219614,-10.733732223510742,327.12,0.013263636268675327,9196,0.0003,1.3378312587738037,1.3379848003387451,23,672,64.19141053,219513
220865,-10.921741485595703,324.44,0.014196060597896576,9251,0.0003,0.5543871521949768,0.004395484924316406,23,676,63.6187254,220764
221846,-10.332473754882812,318.99,0.014180622063577175,9294,0.0003,0.09378740191459656,1.4027760028839111,23,680,62.04997861999999,221745
223097,-10.73353385925293,319.71,0.013833863660693169,9350,0.0003,1.1952980756759644,0.5985195636749268,23,684,62.65620407999999,222996
224178,-11.61984634399414,317.72,0.013735190033912659,9397,0.0003,2.259809732437134,-0.2770313322544098,23,688,62.11857204999999,224077
225270,-10.454333305358887,316.3,0.013081610202789307,9439,0.0003,0.8230873346328735,1.2271069288253784,23,692,61.173391710000004,225169
226349,-11.154618263244629,315.06,0.013732616789638996,9477,0.0003,0.3197559714317322,0.12864691019058228,23,696,61.21656397999999,226248
227462,-11.15836238861084,313.22,0.014507915824651718,9516,0.0003,1.210823893547058,-0.49376246333122253,23,700,61.13308324,227361
228781,-10.634634017944336,310.77,0.014056137762963772,9562,0.0003,0.34694647789001465,0.5857630968093872,23,704,60.363492459999996,228680
230090,-10.85876178741455,313.16,0.014586877077817917,9608,0.0003,2.1883277893066406,-0.7064151763916016,23,708,60.34416544,229989
231292,-11.240471839904785,310.31,0.014409402385354042,9650,0.0003,1.282787561416626,-0.13783302903175354,23,712,60.24451491000001,231191
232416,-10.95359992980957,306.3,0.014436602592468262,9690,0.0003,0.613200306892395,-0.12125452607870102,23,716,59.30801511000001,232315
233587,-10.927864074707031,306.56,0.013950888998806477,9732,0.0003,1.7878059148788452,0.7788668870925903,24,720,59.22678131000001,233486
234873,-11.01440715789795,306.8,0.014092942699790001,9782,0.0003,0.41777098178863525,0.2778385281562805,24,724,58.781568960000016,234772
