time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,train/learning_rate
99350,2044,99249,0.08386476337909698,-0.6909441947937012,48,692,151.97,-50.896209716796875,230.89320237999996,22.022567749023438,0.0003
100042,2059,99941,0.08405106514692307,0.2879118323326111,48,696,152.56,-53.45731735229492,229.14607092000003,13.23460578918457,0.0003
100635,2072,100534,0.08329275250434875,-0.013816151767969131,48,700,152.13,-53.31913375854492,222.29160771,164.4660186767578,0.0003
101343,2087,101242,0.0813840925693512,-0.32667699456214905,48,704,154.84,-53.75467300415039,227.93440053000003,30.886066436767578,0.0003
101850,2098,101749,0.07975352555513382,0.6554112434387207,48,708,154.64,-52.26469421386719,224.95619544999994,18.880638122558594,0.0003
102477,2112,102376,0.07972192764282227,0.214847594499588,48,712,156.24,-53.148277282714844,227.48756073999996,25.25006103515625,0.0003
103346,2131,103245,0.07989753782749176,0.488786518573761,48,716,159.34,-54.01931381225586,233.70508141,22.072391510009766,0.0003
103954,2144,103853,0.08299370110034943,0.1630200892686844,48,720,160.44,-52.562408447265625,236.02306549999997,11.821821212768555,0.0003
104507,2156,104406,0.08071330189704895,-0.11426509916782379,48,724,161.14,-50.90764236450195,236.68967895999998,27.413684844970703,0.0003
105173,2170,105072,0.08140812069177628,-0.04841846227645874,48,728,161.59,-54.842960357666016,238.16429620000005,18.616676330566406,0.0003
105863,2184,105762,0.08234263956546783,0.06559761613607407,48,732,162.72,-52.31338882446289,237.98173642,16.190196990966797,0.0003
106565,2201,106464,0.08375464379787445,0.07337333261966705,48,736,162.86,-50.356056213378906,238.79536115,31.665517807006836,0.0003
107102,2213,107001,0.08304605633020401,-0.42830923199653625,48,740,163.24,-54.094303131103516,239.25947559999997,14.511808395385742,0.0003
107768,2228,107667,0.08258653432130814,0.01071321964263916,48,744,164.28,-53.647666931152344,241.57633710000002,37.77153015136719,0.0003
108289,2239,108188,0.08256932348012924,-0.31707727909088135,48,748,162.05,-50.4933967590332,238.55698900999994,27.48300552368164,0.0003
109026,2254,108925,0.08337095379829407,0.14893551170825958,48,752,163.37,-49.42791748046875,240.11958527,16.951480865478516,0.0003
109747,2268,109646,0.08191479742527008,1.056020975112915,48,756,164.28,-53.72628402709961,240.59383741000005,41.581459045410156,0.0003
110470,2282,110369,0.08617624640464783,-0.39682283997535706,48,760,166.1,-53.9998779296875,241.47145782000004,17.710739135742188,0.0003
111284,2297,111183,0.08417666703462601,0.49778544902801514,48,764,167.68,-51.96461486816406,240.91613671,43.25963592529297,0.0003
111709,2305,111608,0.08665576577186584,0.3615154027938843,48,768,164.35,-50.490562438964844,235.27019416,14.612849235534668,0.0003
112074,2313,111973,0.08544666320085526,-0.28114280104637146,48,772,161.07,-54.83023452758789,231.09699199000002,24.899799346923828,0.0003
112834,2328,112733,0.08231095969676971,0.39710375666618347,48,776,161.73,-53.7693977355957,234.67369649999998,10.092681884765625,0.0003
113387,2339,113286,0.08357474207878113,0.24864012002944946,48,780,161.16,-52.80994415283203,234.44802570999997,32.36674880981445,0.0003
113969,2350,113868,0.08539654314517975,-0.5457457304000854,48,784,162.05,-52.04158401489258,235.37817827000003,23.181455612182617,0.0003
114433,2360,114332,0.08152802288532257,-0.7181442379951477,48,788,158.61,-51.16972351074219,227.56881122,9.021751403808594,0.0003
115105,2373,115004,0.08126863092184067,0.2839714288711548,48,792,157.55,-53.58600997924805,227.31382430000002,20.205638885498047,0.0003
115883,2387,115782,0.08278998732566833,-0.49269530177116394,48,796,158.41,-54.50907516479492,228.81836515000003,51.49347686767578,0.0003
116413,2397,116312,0.08277536183595657,-0.06685139983892441,48,800,157.78,-52.74488067626953,226.15031474999995,26.782901763916016,0.0003
