train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef,train/critic_loss,rollout/ep_len_mean
-10.328243255615234,47.88057579999999,-0.47010067105293274,191182,23,191081,8222,572,0.0003,0.009659038856625557,0.5468006134033203,307.92
-10.260278701782227,47.46569368,-0.783759593963623,192550,23,192449,8284,576,0.0003,0.009315035305917263,0.12017809599637985,308.46
-9.694648742675781,46.594710729999996,2.140716552734375,193804,23,193703,8340,580,0.0003,0.009027520194649696,0.2384992241859436,307.33
-9.854534149169922,45.66088365,0.06342826783657074,194713,23,194612,8380,584,0.0003,0.00964150670915842,0.3686867356300354,303.28
-9.913055419921875,45.42414726,0.6321964263916016,196052,23,195951,8439,588,0.0003,0.009482990019023418,0.30959784984588623,302.44
-9.913497924804688,45.74792913,-0.7892457246780396,197379,23,197278,8499,592,0.0003,0.009125849232077599,0.8308202028274536,302.76
-10.044107437133789,45.3797502,0.505068838596344,198234,23,198133,8537,596,0.0003,0.009453869424760342,1.438929557800293,300.13
-9.994245529174805,44.976149510000006,-0.6714524626731873,199392,23,199291,8588,600,0.0003,0.009903177618980408,0.9415832161903381,297.78
-9.963342666625977,44.75435044999999,0.07184818387031555,200858,23,200757,8655,604,0.0003,0.009388567879796028,0.7614078521728516,298.28
-9.871044158935547,45.355638019999994,0.01816074550151825,202063,23,201962,8709,608,0.0003,0.010249930433928967,0.4152722954750061,299.86
-10.201218605041504,45.58179967,0.6093409061431885,203134,23,203033,8757,612,0.0003,0.009516719728708267,0.8680275678634644,300.31
-10.08119010925293,45.55756485999999,-1.6571377515792847,204261,23,204160,8808,616,0.0003,0.009445744566619396,0.6514743566513062,300.4
-10.065592765808105,44.85833621,0.24336078763008118,205371,23,205270,8859,620,0.0003,0.00911289919167757,0.8039414882659912,297.36
-10.079503059387207,45.74318121,-0.35582607984542847,206753,23,206652,8922,624,0.0003,0.009191421791911125,1.345109462738037,298.32
-9.824609756469727,46.130671910000004,0.38297778367996216,208080,23,207979,8982,628,0.0003,0.009233875200152397,0.6804795265197754,299.41
-10.020196914672852,46.389573780000006,-0.609753429889679,209199,23,209098,9033,632,0.0003,0.008954162709414959,1.9327197074890137,298.11
-10.167998313903809,45.73789650999999,-0.7151229977607727,210555,23,210454,9094,636,0.0003,0.009252453222870827,0.24017548561096191,296.66
-9.778701782226562,46.867659059999994,-0.6886893510818481,212280,23,212179,9173,640,0.0003,0.009413671679794788,1.3161349296569824,302.94
-9.82040023803711,46.25272691,-0.25055059790611267,213238,23,213137,9216,644,0.0003,0.009618712589144707,0.9030346870422363,299.8
-9.83658504486084,46.837183749999994,0.4762502610683441,214482,23,214381,9274,648,0.0003,0.009603112004697323,0.2065751999616623,302.36
-9.68801498413086,47.32668288000001,0.7805459499359131,215953,23,215852,9341,652,0.0003,0.010005694814026356,0.16930842399597168,305.88
-10.03152084350586,48.2846868,-0.0848555862903595,217332,23,217231,9404,656,0.0003,0.009616561233997345,0.3494803309440613,309.46
-10.395047187805176,47.84697164999999,0.04977230727672577,218314,23,218213,9447,660,0.0003,0.009795085527002811,1.2869343757629395,306.97
-10.631107330322266,49.00320971999999,-0.8590706586837769,219690,23,219589,9499,664,0.0003,0.01023708377033472,1.2505383491516113,310.2
-10.149301528930664,49.39753921,-0.5458493232727051,221500,23,221399,9565,668,0.0003,0.009859993122518063,1.0154812335968018,314.65
-10.018401145935059,48.85611012,0.6494896411895752,222515,23,222414,9602,672,0.0003,0.010066571645438671,0.7126243710517883,313.33
-10.09063720703125,49.57728694999999,0.42911678552627563,223915,23,223814,9653,676,0.0003,0.010059907101094723,0.46476370096206665,313.65
-10.2940092086792,49.06864619,0.015928685665130615,224747,23,224646,9684,680,0.0003,0.01002432405948639,0.6780173182487488,309.43
-10.25590991973877,49.54784134999999,-0.23121505975723267,225922,23,225821,9727,684,0.0003,0.00935116782784462,0.7862509489059448,312.09
-9.924494743347168,49.983262429999996,-0.08861196786165237,227491,23,227390,9790,688,0.0003,0.01004099566489458,0.5622584223747253,314.39
